IDX,UPPER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_RIGHT_LONGITUDE,UPPER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_LEFT_LONGITUDE,LOWER_LEFT_LATITUDE
336,133,38.5,133.5,38.5,133.5,38,133,38
337,133.5,38.5,134,38.5,134,38,133.5,38
338,132,38,132.5,38,132.5,37.5,132,37.5
339,132.5,38,133,38,133,37.5,132.5,37.5
340,133,38,133.5,38,133.5,37.5,133,37.5
341,133.5,38,134,38,134,37.5,133.5,37.5
342,132,37.5,132.5,37.5,132.5,37,132,37
343,132.5,37.5,133,37.5,133,37,132.5,37
344,133,37.5,133.5,37.5,133.5,37,133,37
345,133.5,37.5,134,37.5,134,37,133.5,37
346,132,37,132.5,37,132.5,36.5,132,36.5
347,132.5,37,133,37,133,36.5,132.5,36.5
348,133,37,133.5,37,133.5,36.5,133,36.5
349,133.5,37,134,37,134,36.5,133.5,36.5
350,132,36.5,132.5,36.5,132.5,36,132,36
351,132.5,36.5,133,36.5,133,36,132.5,36
352,133,36.5,133.5,36.5,133.5,36,133,36
353,133.5,36.5,134,36.5,134,36,133.5,36
354,132,36,132.5,36,132.5,35.5,132,35.5
355,132.5,36,133,36,133,35.5,132.5,35.5
356,133,36,133.5,36,133.5,35.5,133,35.5
357,133.5,36,134,36,134,35.5,133.5,35.5
358,132,35.5,132.5,35.5,132.5,35,132,35
359,132.5,35.5,133,35.5,133,35,132.5,35
360,133,35.5,133.5,35.5,133.5,35,133,35
361,133.5,35.5,134,35.5,134,35,133.5,35
362,131.5,35,132,35,132,34.5,131.5,34.5
363,132,35,132.5,35,132.5,34.5,132,34.5
365,131,34.5,131.5,34.5,131.5,34,131,34
366,131.5,34.5,132,34.5,132,34,131.5,34
367,130.5,34,131,34,131,33.5,130.5,33.5
368,129,33.5,129.5,33.5,129.5,33,129,33
369,129.5,33.5,130,33.5,130,33,129.5,33
370,130,33.5,130.5,33.5,130.5,33,130,33
371,128.5,33,129,33,129,32.5,128.5,32.5
372,129,33,129.5,33,129.5,32.5,129,32.5
374,128,32.5,128.5,32.5,128.5,32,128,32
375,128.5,32.5,129,32.5,129,32,128.5,32
376,129,32.5,129.5,32.5,129.5,32,129,32
377,129.5,32.5,130,32.5,130,32,129.5,32
378,127.5,32,128,32,128,31.5,127.5,31.5
379,128,32,128.5,32,128.5,31.5,128,31.5
380,128.5,32,129,32,129,31.5,128.5,31.5
381,129,32,129.5,32,129.5,31.5,129,31.5
382,129.5,32,130,32,130,31.5,129.5,31.5
384,133.5,34.5,134,34.5,134,34,133.5,34
385,134,34.5,134.5,34.5,134.5,34,134,34
386,134.5,34.5,135,34.5,135,34,134.5,34
387,135,34.5,135.5,34.5,135.5,34,135,34
388,136.5,34.5,137,34.5,137,34,136.5,34
389,137,34.5,137.5,34.5,137.5,34,137,34
390,137.5,34.5,138,34.5,138,34,137.5,34
391,132,34,132.5,34,132.5,33.5,132,33.5
392,132.5,34,133,34,133,33.5,132.5,33.5
393,133,34,133.5,34,133.5,33.5,133,33.5
394,133.5,34,134,34,134,33.5,133.5,33.5
395,134,34,134.5,34,134.5,33.5,134,33.5
396,134.5,34,135,34,135,33.5,134.5,33.5
397,135,34,135.5,34,135.5,33.5,135,33.5
398,136,34,136.5,34,136.5,33.5,136,33.5
399,136.5,34,137,34,137,33.5,136.5,33.5
400,137,34,137.5,34,137.5,33.5,137,33.5
401,121.5,34,122,34,122,33.5,121.5,33.5
402,122,34,122.5,34,122.5,33.5,122,33.5
403,121.5,33.5,122,33.5,122,33,121.5,33
404,122,33.5,122.5,33.5,122.5,33,122,33
405,121.5,33,122,33,122,32.5,121.5,32.5
406,122,33,122.5,33,122.5,32.5,122,32.5
407,122,32.5,122.5,32.5,122.5,32,122,32
408,122,32,122.5,32,122.5,31.5,122,31.5
409,137.5,34,138,34,138,33.5,137.5,33.5
410,131.5,34,132,34,132,33.5,131.5,33.5
411,131,33.5,131.5,33.5,131.5,33,131,33
412,131.5,33.5,132,33.5,132,33,131.5,33
413,132,33.5,132.5,33.5,132.5,33,132,33
414,132.5,33.5,133,33.5,133,33,132.5,33
415,134.5,33.5,135,33.5,135,33,134.5,33
416,135,33.5,135.5,33.5,135.5,33,135,33
417,136,33.5,136.5,33.5,136.5,33,136,33
418,136.5,33.5,137,33.5,137,33,136.5,33
419,137,33.5,137.5,33.5,137.5,33,137,33
420,137.5,33.5,138,33.5,138,33,137.5,33
421,132,33,132.5,33,132.5,32.5,132,32.5
422,133.5,33,134,33,134,32.5,133.5,32.5
423,134,33,134.5,33,134.5,32.5,134,32.5
424,134.5,33,135,33,135,32.5,134.5,32.5
425,135,33,135.5,33,135.5,32.5,135,32.5
426,135.5,33,136,33,136,32.5,135.5,32.5
427,136,33,136.5,33,136.5,32.5,136,32.5
428,136.5,33,137,33,137,32.5,136.5,32.5
429,137,33,137.5,33,137.5,32.5,137,32.5
430,137.5,33,138,33,138,32.5,137.5,32.5
432,132,32.5,132.5,32.5,132.5,32,132,32
433,132.5,32.5,133,32.5,133,32,132.5,32
434,133,32.5,133.5,32.5,133.5,32,133,32
435,133.5,32.5,134,32.5,134,32,133.5,32
436,134,32.5,134.5,32.5,134.5,32,134,32
437,134.5,32.5,135,32.5,135,32,134.5,32
438,135,32.5,135.5,32.5,135.5,32,135,32
439,135.5,32.5,136,32.5,136,32,135.5,32
440,136,32.5,136.5,32.5,136.5,32,136,32
441,136.5,32.5,137,32.5,137,32,136.5,32
442,137,32.5,137.5,32.5,137.5,32,137,32
443,137.5,32.5,138,32.5,138,32,137.5,32
444,131.5,32,132,32,132,31.5,131.5,31.5
445,132,32,132.5,32,132.5,31.5,132,31.5
446,132.5,32,133,32,133,31.5,132.5,31.5
447,133,32,133.5,32,133.5,31.5,133,31.5
448,133.5,32,134,32,134,31.5,133.5,31.5
449,134,32,134.5,32,134.5,31.5,134,31.5
450,134.5,32,135,32,135,31.5,134.5,31.5
451,135,32,135.5,32,135.5,31.5,135,31.5
452,135.5,32,136,32,136,31.5,135.5,31.5
453,136,32,136.5,32,136.5,31.5,136,31.5
454,136.5,32,137,32,137,31.5,136.5,31.5
455,137,32,137.5,32,137.5,31.5,137,31.5
456,137.5,32,138,32,138,31.5,137.5,31.5
457,122,31.5,122.5,31.5,122.5,31,122,31
458,122.5,31.5,123,31.5,123,31,122.5,31
459,123,31.5,123.5,31.5,123.5,31,123,31
460,123.5,31.5,124,31.5,124,31,123.5,31
461,124,31.5,124.5,31.5,124.5,31,124,31
462,124.5,31.5,125,31.5,125,31,124.5,31
463,125,31.5,125.5,31.5,125.5,31,125,31
464,125.5,31.5,126,31.5,126,31,125.5,31
465,126,31.5,126.5,31.5,126.5,31,126,31
466,126.5,31.5,127,31.5,127,31,126.5,31
467,127,31.5,127.5,31.5,127.5,31,127,31
468,127.5,31.5,128,31.5,128,31,127.5,31
469,128,31.5,128.5,31.5,128.5,31,128,31
470,128.5,31.5,129,31.5,129,31,128.5,31
471,129,31.5,129.5,31.5,129.5,31,129,31
472,129.5,31.5,130,31.5,130,31,129.5,31
474,131.5,31.5,132,31.5,132,31,131.5,31
475,132,31.5,132.5,31.5,132.5,31,132,31
476,132.5,31.5,133,31.5,133,31,132.5,31
477,133,31.5,133.5,31.5,133.5,31,133,31
478,133.5,31.5,134,31.5,134,31,133.5,31
479,134,31.5,134.5,31.5,134.5,31,134,31
480,134.5,31.5,135,31.5,135,31,134.5,31
481,135,31.5,135.5,31.5,135.5,31,135,31
482,135.5,31.5,136,31.5,136,31,135.5,31
483,136,31.5,136.5,31.5,136.5,31,136,31
484,136.5,31.5,137,31.5,137,31,136.5,31
485,137,31.5,137.5,31.5,137.5,31,137,31
486,137.5,31.5,138,31.5,138,31,137.5,31
487,122,31,122.5,31,122.5,30.5,122,30.5
488,122.5,31,123,31,123,30.5,122.5,30.5
489,123,31,123.5,31,123.5,30.5,123,30.5
490,123.5,31,124,31,124,30.5,123.5,30.5
491,124,31,124.5,31,124.5,30.5,124,30.5
492,124.5,31,125,31,125,30.5,124.5,30.5
493,125,31,125.5,31,125.5,30.5,125,30.5
494,125.5,31,126,31,126,30.5,125.5,30.5
495,126,31,126.5,31,126.5,30.5,126,30.5
496,126.5,31,127,31,127,30.5,126.5,30.5
497,127,31,127.5,31,127.5,30.5,127,30.5
498,127.5,31,128,31,128,30.5,127.5,30.5
499,128,31,128.5,31,128.5,30.5,128,30.5
500,128.5,31,129,31,129,30.5,128.5,30.5
501,129,31,129.5,31,129.5,30.5,129,30.5
502,129.5,31,130,31,130,30.5,129.5,30.5
503,130,31,130.5,31,130.5,30.5,130,30.5
504,130.5,31,131,31,131,30.5,130.5,30.5
505,131,31,131.5,31,131.5,30.5,131,30.5
506,131.5,31,132,31,132,30.5,131.5,30.5
507,132,31,132.5,31,132.5,30.5,132,30.5
508,132.5,31,133,31,133,30.5,132.5,30.5
509,133,31,133.5,31,133.5,30.5,133,30.5
510,133.5,31,134,31,134,30.5,133.5,30.5
511,134,31,134.5,31,134.5,30.5,134,30.5
512,134.5,31,135,31,135,30.5,134.5,30.5
513,135,31,135.5,31,135.5,30.5,135,30.5
514,135.5,31,136,31,136,30.5,135.5,30.5
515,136,31,136.5,31,136.5,30.5,136,30.5
516,136.5,31,137,31,137,30.5,136.5,30.5
517,137,31,137.5,31,137.5,30.5,137,30.5
518,137.5,31,138,31,138,30.5,137.5,30.5
519,122,30.5,122.5,30.5,122.5,30,122,30
520,122.5,30.5,123,30.5,123,30,122.5,30
521,123,30.5,123.5,30.5,123.5,30,123,30
522,123.5,30.5,124,30.5,124,30,123.5,30
523,124,30.5,124.5,30.5,124.5,30,124,30
524,124.5,30.5,125,30.5,125,30,124.5,30
525,125,30.5,125.5,30.5,125.5,30,125,30
